d1,c1,d2,c2,d3,c3,d4,c4,d5,c5,d6,c6,d7,c7,d8,c8
 Northwest Airlines Inc.,1618, Northwest Airlines Inc.,1609, Northwest Airlines Inc.,1882, Northwest Airlines Inc.,1879, Delta Air Lines Inc.,481009, Delta Air Lines Inc.,541877, Southwest Airlines Co.,356750, Southwest Airlines Co.,411212
 Delta Air Lines Inc.,1437, American Airlines Inc.,1364, United Air Lines Inc.,1405, United Air Lines Inc.,1393, United Air Lines Inc.,412867, United Air Lines Inc.,380420, Delta Air Lines Inc.,304032, Delta Air Lines Inc.,342552
 American Airlines Inc.,1358, Continental Air Lines Inc.,1178, American Airlines Inc.,1376, Comair Inc.,1380, US Airways Inc. ,317819, Southwest Airlines Co.,367673, American Airlines Inc.,232436, American Airlines Inc.,293269
 Continental Air Lines Inc.,1187, United Air Lines Inc.,972, Atlantic Southeast Airlines,1200, American Airlines Inc.,1379, Southwest Airlines Co.,290235, US Airways Inc.,346563, United Air Lines Inc.,167732, Northwest Airlines Inc.,233550
 United Air Lines Inc.,984, Trans World Airways LLC,774, American Eagle Airlines Inc.,1093, Atlantic Southeast Airlines,1187, American Airlines Inc.,246490, American Airlines Inc.,284277, US Airways Inc.,159393, United Air Lines Inc.,221798
 Trans World Airways LLC,731, America West Airlines Inc.,662, America West Airlines Inc. ,1071, American Eagle Airlines Inc.,1086, Northwest Airlines Inc.,212544, Northwest Airlines Inc.,266367, American Eagle Airlines Inc.,152217, American Eagle Airlines Inc.,211377
 America West Airlines Inc.,665, Alaska Airlines Inc.,646, Independence Air,1050, Continental Air Lines Inc.,1033, Continental Air Lines Inc.,169227, Continental Air Lines Inc.,200131, Northwest Airlines Inc.,145248, Skywest Airlines Inc.,179471
 Alaska Airlines Inc.,652, Delta Air Lines Inc.,569, Continental Air Lines Inc.,1008, ATA Airlines d/b/a ATA,993, Trans World Airways LLC,82727, Trans World Airways LLC,119785, Skywest Airlines Inc.,140844, Expressjet Airlines Inc.,165784
 Southwest Airlines Co.,580, Southwest Airlines Co.,568, US Airways Inc.,958, US Airways Inc.,966, America West Airlines Inc.,64982, America West Airlines Inc.,117416, Comair Inc.,111595, US Airways Inc.,161487
 US Airways Inc.,483, US Airways Inc.,508, JetBlue Airways,834, Alaska Airlines Inc.,871, Alaska Airlines Inc.,49442, Alaska Airlines Inc.,88899, Expressjet Airlines Inc.,93500, Comair Inc.,143576
