iata,count_04
ABI,541
ACT,503
AEX,770
ANC,8968
AZO,1235
BDL,10249
BIS,389
BMI,668
BOS,41529
BQK,363
BZN,915
CHA,1233
CHS,4022
CMH,10214
DAY,4035
DLH,419
DSM,3088
FLL,24022
FWA,2029
GFK,180
GRK,533
GSP,4132
IAH,61543
LAW,234
LSE,452
MCN,464
MFE,641
MOB,1412
MOT,194
MSP,47134
PFN,932
PHF,1465
PHL,58822
PHX,73045
PIE,515
PSG,330
PVD,8379
RIC,4547
ROC,5829
RSW,6615
SAV,4301
SIT,403
SPS,279
SRQ,1689
SUN,666
SWF,952
TUS,5212
WRG,257
BRW,401
CLD,718
CMI,760
COS,3035
CPR,1211
CRP,2075
DAB,1620
DRO,168
EKO,949
EVV,1517
FAR,891
GEG,4140
GJT,1207
GNV,640
GPT,1583
GRR,4498
GUC,38
HSV,3279
IPL,305
JAN,3076
LAX,78030
LNK,620
LWB,61
MCI,17074
MCO,36091
MDT,2667
MEM,17685
MFR,1359
MTJ,796
ONT,11592
ORD,154446
OTZ,533
PNS,2331
RDU,18520
SBP,1545
SCC,101
SEA,44464
SHV,2060
SJT,439
TPA,21216
TWF,845
TXK,242
WYS,66
YAK,242
ABE,1417
ABQ,11292
ACV,1373
AKN,184
ATW,739
BFL,760
BOI,4321
BPT,473
BTV,2174
CHO,670
CLE,21809
CRW,1474
CVG,80133
DCA,23925
DHN,619
ERI,192
FAY,632
FSM,397
HDN,185
HOU,22138
HPN,2231
HRL,1624
HVN,185
IAD,41998
ICT,3099
IDA,756
ILE,625
ISP,3737
ITO,293
JAC,1237
LAS,64814
LFT,865
LGA,36257
MAF,1932
MOD,570
MQT,190
MRY,1977
MYR,1953
OGD,4
PDX,16256
PIA,1282
PSC,1128
RDD,733
SGF,1896
SJC,18962
SJU,7135
SMF,18709
SMX,393
SYR,4676
VIS,104
VLD,368
ACK,84
AGS,1215
ALB,5136
AMA,1890
ATL,206865
AVP,884
BET,600
BGR,1331
BQN,113
CAE,4030
CAK,2667
CIC,234
CLL,624
DFW,119142
DUT,29
EFD,96
ELP,5756
EUG,1625
FAT,3642
FLO,319
FMN,1
GGG,106
GRB,1538
GTF,572
GTR,452
IND,11051
IYK,127
JFK,39884
JNU,1820
KOA,1093
KTN,818
LAN,1509
LGB,3299
LNY,17
LYH,239
MEI,452
MGM,1251
MLB,884
MSY,15295
OAK,23625
OME,592
ORF,7464
OXR,424
PBI,8555
PIH,549
PIT,20556
PSP,3734
PUB,2
RST,479
SCE,215
STL,16230
STX,127
TVC,1041
TYR,493
VCT,163
VPS,2009
XNA,3459
ABY,426
ADK,65
ADQ,386
BGM,266
BTR,2264
BWI,35875
CDC,283
CID,1764
CKB,3
COD,312
EWR,53525
FAI,1838
FCA,429
FNT,1879
GST,31
HLN,396
HNL,6537
ILM,1024
LBB,2223
LRD,503
MBS,704
MDW,33926
MLI,1124
MLU,827
MSN,2282
PWM,3371
ROA,1343
SAN,27137
SAT,11123
SBA,2438
SFO,38591
SLC,45568
SNA,15275
TLH,1726
TYS,3605
ACY,213
APF,45
AUS,10630
AVL,1292
BHM,6466
BIL,1205
BNA,17850
BRO,321
BTM,199
BUF,8231
BUR,8497
CDV,299
CEC,289
CLT,43566
CSG,553
DAL,15477
DBQ,306
DEN,50668
DLG,149
DTW,52647
EGE,370
EYW,374
FSD,1298
GSO,5191
HTS,250
JAX,8991
LCH,240
LEX,3026
LIH,987
LIT,5237
MHT,6001
MIA,22788
MKE,5028
MKK,18
MSO,900
OGG,2593
OKC,6516
OMA,5599
RAP,859
RDM,786
RNO,9601
SBN,1601
SDF,6744
SGU,1143
STT,896
TOL,1519
TRI,1025
TUL,5901
YUM,441
